id,site,title,company,location,date_posted,job_url,salary_range,company_url
seek_89146672,Seek,Solutions Architect (AU),GBST Holdings Ltd,Sydney NSW,Recent,https://www.seek.com.au/job/89146672?type=standard&ref=search-standalone&origin=cardTitle,180000-200000,N/A
seek_89146481,Seek,DevOps Tech Lead - Azure/Bicep,Talenza,Sydney NSW,Recent,https://www.seek.com.au/job/89146481?type=standard&ref=search-standalone&origin=cardTitle,180000-200000,N/A
seek_89146390,Seek,Product Manager - Baseline Clearance required,Robert Walters,Sydney NSW,Recent,https://www.seek.com.au/job/89146390?type=standard&ref=search-standalone&origin=cardTitle,180000-200000,N/A
seek_89146337,Seek,2x Senior DevOps Engineer - Azure/Bicep,Talenza,Sydney NSW,Recent,https://www.seek.com.au/job/89146337?type=standard&ref=search-standalone&origin=cardTitle,180000-200000,N/A
seek_89146096,Seek,Senior SOE/SCCM Engineer,"Talent – Specialists in tech, transformation & beyond",Perth WA,Recent,https://www.seek.com.au/job/89146096?type=standard&ref=search-standalone&origin=cardTitle,180000-200000,N/A
seek_89145975,Seek,Senior Developer,Churches of Christ,Kenmore,Recent,https://www.seek.com.au/job/89145975?type=standard&ref=search-standalone&origin=cardTitle,180000-200000,N/A
seek_89145636,Seek,Project Manager,Michael Page,Perth WA,Recent,https://www.seek.com.au/job/89145636?type=standard&ref=search-standalone&origin=cardTitle,180000-200000,N/A
gd-1009964091157,glassdoor,Construction Manager,Areli Corp,Darwin,2025-12-10,https://www.glassdoor.com.au/job-listing/j?jl=1009964091157,N/A,https://www.glassdoor.com.au/Overview/W-EI_IE262485.htm
gd-1009956606872,glassdoor,Technical Sales Engineer - Industrial Refrigeration,Johnson Controls,Sydney,2025-12-03,https://www.glassdoor.com.au/job-listing/j?jl=1009956606872,N/A,https://www.glassdoor.com.au/Overview/W-EI_IE365.htm
gd-1009944828073,glassdoor,Software Engineer,Ionyx Pty Ltd,Brisbane,2025-11-20,https://www.glassdoor.com.au/job-listing/j?jl=1009944828073,N/A,N/A
gd-1009943510437,glassdoor,Software Engineer,Duxxel Pty Ltd,Sydney,2025-11-19,https://www.glassdoor.com.au/job-listing/j?jl=1009943510437,N/A,N/A
gd-1009923350725,glassdoor,Principal Ventilation Engineer,Perenti Group,Perth,2025-10-30,https://www.glassdoor.com.au/job-listing/j?jl=1009923350725,N/A,https://www.glassdoor.com.au/Overview/W-EI_IE3583810.htm
gd-1009867239697,glassdoor,Principal Software Engineer / Tech Lead,HAYS,Sydney,2025-09-06,https://www.glassdoor.com.au/job-listing/j?jl=1009867239697,N/A,https://www.glassdoor.com.au/Overview/W-EI_IE10166.htm
in-f9befa36eecc54f6,indeed,Software Engineer I Mid,PlaySide Studios,"Port Melbourne, VIC, AU",2025-12-15,https://au.indeed.com/viewjob?jk=f9befa36eecc54f6,N/A,https://au.indeed.com/cmp/Playside-Studios
in-5be20a1cf13f6a15,indeed,Development Team Lead,Centorrino Technologies,"Remote, AU",2025-12-15,https://au.indeed.com/viewjob?jk=5be20a1cf13f6a15,N/A,http://www.ct.com.au
in-30b0a446cc3cd2e2,indeed,Senior Engineer - Scam and Fraud Management,TPG Telecom,"Barangaroo, NSW, AU",2025-12-15,https://au.indeed.com/viewjob?jk=30b0a446cc3cd2e2,N/A,https://www.tpgtelecom.com.au
in-d0112b0717a6b342,indeed,Senior Propulsion Engineer (Turbomachinery),Gilmour Space Technologies Pty Ltd,"Yatala, QLD, AU",2025-12-15,https://au.indeed.com/viewjob?jk=d0112b0717a6b342,N/A,https://www.gspacetech.com
